Name,Price,Information,Availability
Lenovo V15 AMD Ryzen 3 8GB RAM 256GB SSD 15.6 Inch Windows 11 Laptop,£314.97,"AMD Ryzen 3 7320U Processor, Radeon 610M Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
"Apple MacBook Pro 14"" M1 Pro 16GB 1TB SSD 2021 - Space Grey",£1599.97,"M1 Pro M1 Processor, M1 Pro 16-Core Graphics card, 14 Inch 3456 x 2234 120Hz Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from tomorrow
HP ProBook 635 Aero G8 AMD Ryzen 5 8GB RAM 256GB SSD 13.3 Inch Windows 10 Pro Laptop,£419.97,"AMD Ryzen 5 5600U Processor, Radeon Graphics Graphics card, 13.3 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
HP 255 G9 AMD Ryzen 7 16GB RAM 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£574.97,"AMD Ryzen 7 5825U Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
MSI Katana 17 B13VEK-015UK Intel Core i7 16GB 1TB RTX 4050 144Hz 17.3 Inch FHD Windows 11 Gaming Laptop,£1099.97,"Intel Core i7 13620H Processor, GeForce RTX 4050 Graphics card, 17.3 Inch Full HD 144Hz Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from Fri 9th Feb
Razer Blade 15 Intel Core i7 16GB 1TB RTX 3070Ti 240Hz QHD 15.6 Inch Windows 11 Gaming Laptop,£1469.97,"Intel Core i7-12800H 14 Core Processor, GeForce RTX 3070 Ti 8GB Graphics Card, 15.6 Inch 240Hz QHD Screen, 16GB DDR5 4800MHz RAM, 1TB M.2 NVMe SSD",In Stock - Delivery from tomorrow
Lenovo IdeaPad 3 Gaming Laptop AMD Ryzen 5 8GB 512GB SSD RTX 3060 120Hz 15.6 Inch Windows 11,£999.97,"AMD Ryzen 5 5600H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch Full HD 120Hz Screen, 8GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Refurbished Lenovo ThinkPad T460 Core i5 6th gen 8GB 256GB 14 Inch Windows 10 Professional Laptop,£199.97,"Intel Core i5 Processor, 14 Inch 1366 x 768 Screen, 8GB RAM, 256GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Lenovo IdeaPad Gaming 3 Intel Core i5 8GB 256GB GTX 1650 15.6 Inch FHD Windows 11 Gaming Laptop,£649.97,"Intel Core i5 11320H Processor, GeForce GTX 1650 Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
Refurbished Samsung Galaxy Go Intel Celeron N4500 4GB 64GB 14 Inch Chromebook,£119.97,"Intel Celeron N4500 Processor, 14 Inch 1366 x 768 Screen, 4GB RAM, 64GB SSD, 3 Month Warranty",In Stock - Delivery from tomorrow
"Apple MacBook Pro 13"" M1 8GB 256GB SSD 2020 - Space Grey",£899.97,"M1 8-Core Processor, M1 8-Core Graphics Card, 8GB Ram + 256GB SSD, 13"" 2560 x 1600 Screen, 1 year warranty",In Stock - Delivery from tomorrow
Apple MacBook Pro 2023 14 Inch M3 Pro 18GB RAM 512GB SSD - Space Black,£1899.97,"M3 Pro Processor, 14 Inch 3024 x 1964 120Hz Screen, 18GB RAM, 512GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Space Grey,£1279.97,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
MSI Cyborg 15 A12VF-025UK Intel Core i7 16GB 512GB RTX 4060 144Hz FHD 15.6 Inch Windows 11 Home Gaming Laptop,£997.97,"Intel Core i7 12650H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Asus Vivobook Go AMD Ryzen 5 8GB RAM 256GB SSD 15.6 Inch Windows 11 Laptop,£346.97,"AMD Ryzen 5 7320U Processor, Radeon 610M Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
Medion Erazer Crawler E30 Core i5-12450H 8GB 512GB GTX 1650 15.6 Inch Windows 11 Gaming Laptop,£549.97,"Intel Core i5 12450H Processor, GeForce GTX 1650 4GB Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 512GB SSD - Starlight,£1449.97,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 512GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Refurbished Lenovo IdeaPad 3i Intel Pentium N6000 4GB 128GB 15.6 Inch Chromebook,£239.97,"Intel Pentium 7505 Processor, 15.6 Inch Full HD Screen, 4GB RAM, 128GB SSD, 3 Month Warranty",In Stock - Delivery from tomorrow
Gigabyte G5 Intel Core i5 16GB 512GB RTX 4060 144Hz 15.6 Inch FHD Windows 11 Gaming Laptop,£897.97,"Intel Core i5 12500H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Asus TUF F15 Intel Core i5 8GB 512GB RTX 3050Ti 144Hz FHD 15.6 Inch Windows 11 Gaming Laptop,£789.97,"Intel Core i5 11400H Processor, GeForce RTX 3050 Ti 4GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
HP Victus Intel Core i5 8GB 512GB RTX 2050 144Hz FHD IPS 15.6 Inch Windows 11 Gaming Laptop,£879.97,"Intel Core i5 13420H Processor, GeForce RTX 2050 Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
MSI Katana 17 B12UDXK-071UK Intel Core i5 16GB 1TB RTX 3050 144Hz 17.3 Inch FHD Windows 11 Home Gaming Laptop,£799.97,"Intel Core i5 12450H Processor, GeForce RTX 3050 6GB Graphics card, 17.3 Inch Full HD 144Hz Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from tomorrow
Refurbished Dell Latitude 5490 Core i5 8th gen 8GB 256GB 14 Inch Windows 11 Professional Laptop,£299.97,"Intel Core i5 Processor, 14 Inch 1366 x 768 Screen, 8GB RAM, 256GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Razer Blade 15 Advanced Intel Core i7 32GB 1TB RTX 3080Ti 240Hz QHD 15.6 Inch Windows 11 Gaming Laptop,£1899.97,"Intel Core i7-12800H 14 Core Processor, GeForce RTX 3080 Ti 16GB Graphics Card, 15.6 Inch 240Hz QHD Screen, 32GB DDR5 4800MHz RAM, 1TB M.2 NVMe SSD",In Stock - Delivery from tomorrow
MSI Pulse 15 Intel Core i7 16GB 1TB RTX 4060 165Hz QHD 15.6 Inch Gaming Laptop,£1197.97,"Intel Core i7 13700H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch QHD Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from Fri 9th Feb
Asus TUF A15 AMD Ryzen 7 16GB 512GB RTX 4050 144Hz FHD 15.6 Inch Windows 11 Gaming Laptop,£889.97,"AMD Ryzen 7 7735HS Processor, GeForce RTX 4050 Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
HP Victus 15-fa1006na Intel Core i5 16GB 512GB RTX 4060 15.6 Inch Windows 11 Gaming Laptop,£1149.97,"Intel Core i5 12500H Processor, GeForce RTX 4060 Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
MSI GF63 Thin Intel Core i7 16GB 512GB RTX 4060 15.6 Inch Windows 11 Gaming Laptop,£949.97,"Intel Core i7 12650H Processor, GeForce RTX 4060 Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Refurbished Asus TUF AMD Ryzen 7 6800H 16GB 1TB SSD RTX 3060 17.3 Inch Windows 11 Gaming Laptop,£1069.97,"AMD Ryzen 7 6800H Processor, Ge Force RTX 3060 12GB Graphics card, 17.3 Inch Full HD Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from tomorrow
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Silver,£1254.97,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Medion Erazer Deputy P25 AMD Ryzen 5 16GB 512GB RTX 3060 144Hz 15.6 Inch Windows 11 Gaming Laptop,£719.97,"AMD Ryzen 5 5600H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Razer Blade 15 Intel Core i7 16GB 1TB SSD RTX 4060 240Hz QHD 15.6 Inch Windows 11 Gaming Laptop,£1999.97,"Intel Core i7 13800H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch QHD Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from tomorrow
Refurbished Asus TUF A17 AMD Ryzen 7 6800H 16GB 1TB SSD RTX 3060 17.3 Inch Windows 11 Gaming Laptop,£879.97,"AMD Ryzen 7 6800H Processor, GeForce RTX 3060 6GB Graphics card, 17.3 Inch Full HD 144Hz Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from tomorrow
Razer Blade 16 Intel Core i9 16GB 1TB RTX 4060 240Hz QHD+ 16 Inch Windows 11 Gaming Laptop,£2249.97,"Intel Core i7 13800H Processor, GeForce RTX 4060 8GB Graphics card, 16 Inch 2560 x 1600 Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from tomorrow
Refurbished Samsung Galaxy Book 2 Pro Core i7-1260P 16GB 512GB SSD 15.6 Inch AMOLED Windows 11 Laptop,£639.97,"Intel Core i7 1260P Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Lenovo V15 G3 Intel Core i7 16GB RAM 512GB SSD 15.6 Inch  FHD Windows 11 Pro Laptop,£679.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Lenovo V15 G3 AMD Ryzen 7 16GB RAM 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£529.97,"AMD Ryzen 7 5825U Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1-year warranty",In Stock - Delivery from tomorrow
Lenovo V15 G4 Intel Core i5 16GB RAM 512GB SSD 15.6 Inch FHD Windows 11 Pro Laptop,£519.97,"Intel Core i5 i5-12500H Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1-year warranty",In Stock - Delivery from tomorrow
Lenovo V15 IML Intel Core i5 8GB RAM 256GB SSD 15.6 Inch Windows 10 Pro Laptop,£419.97,"Intel Core i5 10210U Processor, UHD Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
HP 250 G9 Intel Core i5 8GB RAM 256GB SSD 15.6 Inch Windows 11 Laptop,£379.97,"Intel Core i5 1235U Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Lenovo V15 Intel Core i5 8GB RAM 256GB SSD 15.6 Inch Windows 11 Laptop,£379.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
Lenovo V15 AMD Ryzen 3 8GB RAM 256GB SSD 15.6 Inch Windows 11 Pro Laptop,£329.97,"AMD Ryzen 3 7320U Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 1-year warranty",In Stock - Delivery from tomorrow
HP 255 G9 AMD Ryzen 7 16GB RAM 512GB SSD 15.6 Inch Windows 11 Laptop,£599.97,"AMD Ryzen 7 5825U Processor, Radeon Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Lenovo V14 G3 Intel Core i7 16GB RAM 512GB SSD 14 Inch Windows 11 Pro Laptop,£549.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 14 Inch Full HD Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
HP 250 G9 Intel Core i5 16GB 512 SSD 15.6 Inch Windows 11 FHD Laptop,£497.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Refurbished Dell Vostro 5320 Core i5-1240P 8GB 256GB 13.3 Inch Windows 10 Professional Laptop,£392.06,"Intel Core i5 1240P Processor, Iris Xe Graphics Graphics card, 13.3 Inch 1920 x 1200 Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
HP 250 G9 Intel Core i7 16GB RAM 512GB SSD 15.6 Inch Windows 11 FHD Laptop,£589.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Lenovo V15 G4 AMN 82YU AMD Ryzen 5 16GB RAM 256GB SSD 15.6 inch Windows 11 Pro Laptop,£444.97,"AMD Ryzen 5 7520U Processor, AMD Radeon 610M Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
